@relation pacman-data-weka.filters.unsupervised.attribute.Remove-R29-55-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Randomize-S42

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}

@data
10,6,0,1,0,1,-1,-1,9,13,-1,-1,9,12,-1,8,-1,7,373,-1,0,North
1,13,0,1,1,0,2,3,2,5,6,10,3,6,11,9,8,10,-6,-1,0,South
14,6,1,1,1,1,4,7,10,4,-1,-1,-1,-1,11,6,-1,-1,371,-1,0,West
9,6,1,1,0,1,-1,-1,11,9,-1,-1,13,7,-1,5,-1,4,2271,2,76,West
6,6,1,1,0,1,-1,-1,-1,-1,5,9,-1,-1,-1,-1,4,-1,574,-1,0,East
1,10,0,1,1,1,1,3,2,3,5,9,6,6,7,8,5,9,-11,-1,0,South
1,13,1,1,0,0,2,3,1,6,6,10,5,4,11,7,8,14,-7,-1,0,South
16,5,1,1,1,1,7,3,8,7,7,7,18,3,11,10,11,3,1087,1,84,East
7,1,1,0,1,0,4,2,9,7,11,5,18,8,4,8,8,18,196,1,93,West
11,10,1,1,1,0,4,6,5,12,13,6,13,12,11,8,6,4,-3,-1,0,West
5,3,0,0,1,1,2,5,9,5,8,5,17,9,5,6,5,19,591,1,89,West
28,13,1,1,1,1,5,8,1,3,12,8,-1,-1,28,37,21,-1,166,-1,0,North
3,6,1,1,1,1,-1,-1,-1,-1,5,9,6,6,-1,-1,5,3,377,-1,0,North
3,1,0,1,1,0,-1,-1,1,4,7,5,17,1,-1,5,8,15,493,1,19,West
12,2,1,0,1,0,-1,-1,5,2,-1,-1,17,3,-1,7,-1,5,1972,2,14,South
15,10,1,0,1,1,6,10,10,3,18,6,25,6,9,12,7,15,-4,-1,0,East
15,6,1,0,1,1,4,7,16,8,24,8,-1,-1,12,3,11,-1,157,-1,0,West
6,9,1,1,0,0,4,2,13,7,10,7,15,9,9,9,6,9,1781,1,79,North
15,10,1,1,1,1,-1,-1,13,14,-1,-1,8,12,-1,6,-1,10,361,-1,0,North
24,9,1,1,1,1,6,6,11,4,13,6,25,3,21,18,14,6,-13,-1,0,South
1,4,1,1,1,1,1,3,2,3,5,9,6,6,1,2,9,7,-17,-1,0,South
6,6,1,1,1,1,5,6,5,12,-1,-1,13,12,1,7,-1,13,175,-1,0,West
13,3,1,1,1,1,7,3,9,6,9,7,18,5,6,7,8,6,592,1,89,North
10,3,1,1,0,1,5,6,5,12,-1,-1,13,12,8,14,-1,12,182,-1,0,South
3,13,1,0,1,1,-1,-1,5,12,-1,-1,13,12,-1,3,-1,11,365,-1,0,North
12,7,0,0,1,1,4,3,-1,-1,-1,-1,15,5,12,-1,-1,6,2567,1,75,East
20,3,1,1,1,1,6,8,11,7,14,8,-1,-1,19,13,11,-1,167,-1,0,West
1,9,0,1,1,0,1,3,3,6,4,10,5,5,6,5,4,8,-10,-1,0,South
27,9,1,1,1,1,3,6,-1,-1,-1,-1,-1,-1,27,-1,-1,-1,534,-1,0,South
7,5,1,1,1,1,-1,-1,7,12,11,6,6,14,-1,7,5,9,179,-1,0,South
11,5,0,1,0,1,-1,-1,-1,-1,-1,-1,16,5,-1,-1,-1,6,1776,3,14,East
