@relation 'pacman-data-weka.filters.unsupervised.attribute.Remove-R3,48-51-weka.filters.unsupervised.attribute.Reorder-R1-46,48-last,47'

@attribute PacmanPositionX numeric
@attribute PacmanPositionY numeric
@attribute LegalPacManNorth {0,1}
@attribute LegalPacManSouth {0,1}
@attribute LegalPacManWest {0,1}
@attribute LegalPacManEast {0,1}
@attribute LegalPacManStop {0,1}
@attribute Ghost1PositionX numeric
@attribute Ghost1PositionY numeric
@attribute Ghost2PositionX numeric
@attribute Ghost2PositionY numeric
@attribute Ghost3PositionX numeric
@attribute Ghost3PositionY numeric
@attribute Ghost4PositionX numeric
@attribute Ghost4PositionY numeric
@attribute Ghost1Distance numeric
@attribute Ghost2Distance numeric
@attribute Ghost3Distance numeric
@attribute Ghost4Distance numeric
@attribute Ghost1Direction {North,South,West,East,Stop,Dead}
@attribute Ghost2Direction {North,South,West,East,Stop,Dead}
@attribute Ghost3Direction {North,South,West,East,Stop,Dead}
@attribute Ghost4Direction {North,South,West,East,Stop,Dead}
@attribute Score numeric
@attribute DistanceFood numeric
@attribute RemainingFood numeric
@attribute class {North,South,West,East}
@attribute NextPacmanPositionX numeric
@attribute NextPacmanPositionY numeric
@attribute NextLegalPacManNorth {0,1}
@attribute NextLegalPacManSouth {0,1}
@attribute NextLegalPacManWest {0,1}
@attribute NextLegalPacManEast {0,1}
@attribute NextLegalPacManStop {0,1}
@attribute NextGhost1PositionX numeric
@attribute NextGhost1PositionY numeric
@attribute NextGhost2PositionX numeric
@attribute NextGhost2PositionY numeric
@attribute NextGhost3PositionX numeric
@attribute NextGhost3PositionY numeric
@attribute NextGhost4PositionX numeric
@attribute NextGhost4PositionY numeric
@attribute NextGhost1Distance numeric
@attribute NextGhost2Distance numeric
@attribute NextGhost3Distance numeric
@attribute NextGhost4Distance numeric
@attribute NextDistanceFood numeric
@attribute NextRemainingFood numeric
@attribute NextPacmanDirection {North,South,West,East}
@attribute NextScore numeric

@data
3,7,1,1,1,0,1,-1,-1,5,8,5,10,4,9,-1,3,5,2,Dead,North,West,West,178,-1,0,North,3,8,1,1,1,0,1,-1,-1,5,9,4,10,3,9,-1,3,3,1,-1,0,North,177
3,8,1,1,1,0,1,-1,-1,5,9,4,10,3,9,-1,3,3,1,Dead,North,West,West,177,-1,0,North,3,9,1,1,1,0,1,-1,-1,5,8,3,10,-1,-1,-1,3,1,-1,-1,0,North,376
3,9,1,1,1,0,1,-1,-1,5,8,3,10,-1,-1,-1,3,1,-1,Dead,South,West,Dead,376,-1,0,North,3,10,1,0,1,0,1,-1,-1,6,8,-1,-1,-1,-1,-1,5,-1,-1,-1,0,North,575
3,10,1,0,1,0,1,-1,-1,6,8,-1,-1,-1,-1,-1,5,-1,-1,Dead,East,Dead,Dead,575,-1,0,North,4,10,1,0,1,1,1,-1,-1,5,8,-1,-1,-1,-1,-1,3,-1,-1,-1,0,East,574
4,10,1,0,1,1,1,-1,-1,5,8,-1,-1,-1,-1,-1,3,-1,-1,Dead,West,Dead,Dead,574,-1,0,East,5,10,1,0,1,1,1,-1,-1,5,8,-1,-1,-1,-1,-1,2,-1,-1,-1,0,East,573
5,10,1,0,1,1,1,-1,-1,5,8,-1,-1,-1,-1,-1,2,-1,-1,Dead,West,Dead,Dead,573,-1,0,East,6,10,0,0,1,1,1,-1,-1,4,8,-1,-1,-1,-1,-1,4,-1,-1,-1,0,East,572
6,10,0,0,1,1,1,-1,-1,4,8,-1,-1,-1,-1,-1,4,-1,-1,Dead,West,Dead,Dead,572,-1,0,East,6,9,0,1,1,1,1,-1,-1,4,8,-1,-1,-1,-1,-1,3,-1,-1,-1,0,South,571
6,9,0,1,1,1,1,-1,-1,4,8,-1,-1,-1,-1,-1,3,-1,-1,Dead,West,Dead,Dead,571,-1,0,South,5,9,1,1,1,1,1,-1,-1,4,7,-1,-1,-1,-1,-1,3,-1,-1,-1,0,West,570
5,9,1,1,1,1,1,-1,-1,4,7,-1,-1,-1,-1,-1,3,-1,-1,Dead,South,Dead,Dead,570,-1,0,West,4,9,1,1,1,1,1,-1,-1,3,7,-1,-1,-1,-1,-1,3,-1,-1,-1,0,West,569
4,9,1,1,1,1,1,-1,-1,3,7,-1,-1,-1,-1,-1,3,-1,-1,Dead,West,Dead,Dead,569,-1,0,West,4,8,1,1,1,1,1,-1,-1,3,8,-1,-1,-1,-1,-1,1,-1,-1,-1,0,South,568
4,8,1,1,1,1,1,-1,-1,3,8,-1,-1,-1,-1,-1,1,-1,-1,Dead,North,Dead,Dead,568,-1,0,South,4,7,1,1,1,1,1,-1,-1,3,8,-1,-1,-1,-1,-1,2,-1,-1,-1,0,South,567
4,7,1,1,1,1,1,-1,-1,3,8,-1,-1,-1,-1,-1,2,-1,-1,Dead,North,Dead,Dead,567,-1,0,South,3,7,1,1,1,0,1,-1,-1,3,8,-1,-1,-1,-1,-1,1,-1,-1,-1,0,West,566
7,1,0,1,1,1,1,-1,-1,1,4,8,5,-1,-1,-1,9,5,-1,Dead,North,West,Dead,-3,2,22,West,6,1,0,1,1,0,1,-1,-1,1,5,8,5,17,1,-1,9,6,12,1,22,West,-4
6,1,0,1,1,0,1,-1,-1,1,5,8,5,17,1,-1,9,6,12,Dead,North,West,North,-4,1,22,West,5,1,0,1,1,1,1,-1,-1,1,4,8,5,-1,-1,-1,7,7,-1,1,21,West,95
5,1,0,1,1,1,1,-1,-1,1,4,8,5,-1,-1,-1,7,7,-1,Dead,South,West,Dead,95,1,21,West,4,1,0,1,1,0,1,-1,-1,1,5,8,5,-1,-1,-1,7,8,-1,1,20,West,394
4,1,0,1,1,0,1,-1,-1,1,5,8,5,-1,-1,-1,7,8,-1,Dead,North,West,Dead,394,1,20,West,3,1,0,1,1,0,1,-1,-1,1,4,7,5,17,1,-1,5,8,15,1,19,West,493
3,1,0,1,1,0,1,-1,-1,1,4,7,5,17,1,-1,5,8,15,Dead,South,West,North,493,1,19,West,2,1,0,1,1,0,1,-1,-1,1,4,6,5,17,2,-1,4,8,17,2,18,West,792
2,1,0,1,1,0,1,-1,-1,1,4,6,5,17,2,-1,4,8,17,Dead,South,West,North,792,2,18,West,1,1,0,0,1,1,1,-1,-1,1,5,5,5,17,3,-1,4,8,19,1,18,West,1191
1,1,0,0,1,1,1,-1,-1,1,5,5,5,17,3,-1,4,8,19,Dead,North,West,North,1191,1,18,West,1,2,1,0,0,1,1,-1,-1,2,5,4,5,17,4,-1,4,6,18,1,17,North,1490
1,2,1,0,0,1,1,-1,-1,2,5,4,5,17,4,-1,4,6,18,Dead,East,West,North,1490,1,17,North,1,3,1,0,0,1,1,-1,-1,1,5,5,5,17,4,-1,2,6,17,1,16,North,1589
1,3,1,0,0,1,1,-1,-1,1,5,5,5,17,4,-1,2,6,17,Dead,West,East,North,1589,1,16,North,1,4,1,0,0,1,1,-1,-1,1,5,6,5,17,4,-1,1,6,17,2,15,North,1688
1,4,1,0,0,1,1,-1,-1,1,5,6,5,17,4,-1,1,6,17,Dead,West,East,South,1688,2,15,North,1,5,1,0,1,0,1,-1,-1,-1,-1,5,5,17,3,-1,-1,4,19,1,15,North,1887
1,5,1,0,1,0,1,-1,-1,-1,-1,5,5,17,3,-1,-1,4,19,Dead,Dead,West,South,1887,1,15,North,2,5,0,1,1,0,1,-1,-1,-1,-1,4,5,17,2,-1,-1,2,17,6,14,East,1986
2,5,0,1,1,0,1,-1,-1,-1,-1,4,5,17,2,-1,-1,2,17,Dead,Dead,West,North,1986,6,14,East,3,5,1,1,1,0,1,-1,-1,-1,-1,5,5,17,3,-1,-1,2,15,5,14,East,1985
3,5,1,1,1,0,1,-1,-1,-1,-1,5,5,17,3,-1,-1,2,15,Dead,Dead,East,North,1985,5,14,East,4,5,0,1,1,0,1,1,2,-1,-1,6,5,17,4,6,-1,2,13,4,14,East,1984
4,5,0,1,1,0,1,1,2,-1,-1,6,5,17,4,6,-1,2,13,North,Dead,East,North,1984,4,14,East,5,5,1,1,1,0,1,-1,-1,-1,-1,-1,-1,17,5,-1,-1,-1,13,3,14,East,2183
5,5,1,1,1,0,1,-1,-1,-1,-1,-1,-1,17,5,-1,-1,-1,13,Dead,Dead,Dead,South,2183,3,14,East,6,5,0,1,1,0,1,-1,-1,-1,-1,-1,-1,17,4,-1,-1,-1,11,4,14,East,2182
6,5,0,1,1,0,1,-1,-1,-1,-1,-1,-1,17,4,-1,-1,-1,11,Dead,Dead,Dead,North,2182,4,14,East,7,5,0,1,1,0,1,-1,-1,1,2,-1,-1,17,5,-1,9,-1,9,5,14,East,2181
